State/Uts,Small Hydro Power ,Large Hydro Power ,Wind Power ,Biomass power (Bagasse Cogeneration),Biomass Power (Non-Bagasse cogneration),Waste to Energy,Waste to Energy (Off grid),Bio Power,Solar Power,Total Capacity
Andhra Pradesh,164.51,3290,4415.78,378.1,113.57,53.16,49.19,594.02,6935.38,15399.69
Arunachal Pradesh,140.61,1615,0,0,0,0,0,0,15.44,1771.05
Assam,34.11,346,0,0,2,0,0,2,474.21,856.32
Bihar,70.7,0,0,112.5,26.4,0,1.32,140.22,435.34,646.26
Chhattisgarh,100.9,120,0,272.09,2.5,0,10.83,285.42,1755.4,2261.72
Goa,0.05,0,0,0,0,1.94,0,1.94,73.64,75.63
Gujarat,113.3,1990,14855.19,65.3,12,7.5,45.05,129.85,26909.3,43997.64
Haryana,73.5,0,0,151.4,125.46,11.2,37.61,325.67,2540.08,2939.25
Himachal Pradesh,1000.71,11421.02,0,0,9.2,0,1,10.2,346.28,12778.21
Jammu & Kashmir,189.93,3360,0,0,0,0,0,0,79.48,3629.41
Jharkhand,4.05,210,0,0,19.1,0,1.04,20.14,235.77,469.96
Karnataka,1284.73,3689.2,8423.64,1868.91,20.2,1,26.94,"1917.0
5",10824,26138.62
Kerala,276.52,2008.15,71.52,0,2.27,0,0.23,2.5,2080.26,4438.95
Ladakh,45.79,89,0,0,0,0,0,0,12.02,146.81
Madhya Pradesh,123.71,2235,3591.15,92.5,14.85,15.4,32.71,155.46,5855.64,11960.96
Maharashtra,384.28,3047,5847.01,2907.3,16.4,12.59,62.01,"2998.3
0",19105.13,31381.72
Manipur,5.45,105,0,0,0,0,0,0,17.52,127.97
Meghalaya,55.03,322,0,0,13.8,0,0,13.8,4.28,395.11
Mizoram,45.47,60,0,0,0,0,0,0,33.69,139.16
Nagaland,32.67,75,0,0,0,0,0,0,3.34,111.01
Odisha,140.63,2154.55,0,50.4,8.82,0,5,64.22,773.32,3132.72
Punjab,176.1,1096.3,0,299.5,231.79,10.75,34.55,576.59,1560.99,3409.98
Rajasthan,23.85,412.5,5229.15,134.15,2,59.6,11.77,207.52,37925.04,43798.06
Sikkim,55.11,2282,0,0,0,0,0,0,7.56,2344.67
Tamil Nadu,123.05,2203.2,12084.56,969.1,43.55,6.4,27.57,"1046.6
2",11731.61,27189.04
Telangana,89.67,2405.6,128.1,158.1,3.3,45.8,14.47,221.67,5065.1,7910.14
Tripura,16.01,0,0,0,0,0,0,0,35.16,51.17
Uttar Pradesh,50.6,501.6,0,1985.5,165.26,0,159.63,"2310.3
9",3829.88,6692.47
Uttarakhand,233.82,4785.35,0,72.72,60,0,16.85,149.57,837.89,6006.63
West Bengal,98.5,1341.2,0,300,43.52,0,8.34,351.86,320.62,2112.18
Andaman & Nicobar Islands,5.25,0,0,0,0,0,0,0,32.12,37.37
Chandigarh,0,0,0,0,0,0,0,0,78.85,78.85
Dadra and Nagar Haveli and Daman & Diu,0,0,0,3.75,0,0,0,3.75,134.9,138.65
Delhi,0,0,0,0,0,84,1.17,85.17,403.3,488.47
Lakshadweep,0,0,0,0,0,0,0,0,6.57,6.57
Puducherry,0,0,0,0,0,0,0,0,77.61,77.61
Others,0,0,4.3,0,0,0,0,0,45.01,49.31
Total ,5158.61,51164.67,54650.4,9821.32,935.99,309.34,547.28,"11613.
93","140601.7
5","263189.3
6"
